emag_offer_id,emag_product_id,product_name,currency,sale_price,stock,is_available,account_type,updated_at
538,538,"Amplificator audio stereo 2x3W cu PAM8403, verde",RON,20.0,22,True,fbe,2025-09-22 17:52:35.988498
194,194,"Preamplificator microfon stereo dinamic, AD828",RON,21.0,8,True,fbe,2025-09-22 17:52:12.952395
562,562,"Mini amplificator audio mono 5W cu XPT8871, XH-M125",RON,21.0,21,True,fbe,2025-09-22 17:52:35.988498
534,534,"Amplificator audio stereo 2x15W cu PAM8610, negru",RON,22.0,6,True,fbe,2025-09-22 17:52:35.988498
301,301,Modul amplificator audio stereo 2x3W cu PAM8403,RON,22.0,9,True,fbe,2025-09-22 17:52:24.834131
537,537,"Amplificator audio stereo 2x3W cu potentiometru de volum, PAM8403",RON,22.0,18,True,fbe,2025-09-22 17:52:35.988498
773,773,"Amplificator microfon electret MAX4466, DC 2.4-5.5V",RON,22.0,10,True,fbe,2025-09-22 17:52:47.566600
612,612,"Modul audio Bluetooth cu amplificator, CA-6928",RON,22.0,7,True,fbe,2025-09-22 17:52:41.627394
398,398,"Amplificator audio stereo pentru casti cu TDA1308, DC 3-6V",RON,23.0,17,True,fbe,2025-09-22 17:52:24.834131
670,670,Amplificator audio mono 18W cu TDA2030A,RON,23.0,8,True,fbe,2025-09-22 17:52:41.627394
712,712,"Amplificator mono 2.5W cu PAM8302A, CJMCU-832",RON,23.0,6,True,fbe,2025-09-22 17:52:47.566600
838,838,"Amplificator audio stereo 2x15W cu TPA3110D2, DC 8-26V",RON,24.0,11,True,fbe,2025-09-22 17:52:53.440361
109,109,"Amplificator audio stereo 2x15W cu TPA3110D2, XH-M228",RON,24.0,6,True,fbe,2025-09-22 17:52:12.952395
560,560,"Amplificator audio stereo 2x3W cu PAM8403, XH-A157",RON,27.0,13,True,fbe,2025-09-22 17:52:35.988498
185,185,Amplificator audio MAX98357 I2S compatibil cu ESP32 si Raspberry Pi,RON,30.0,6,True,fbe,2025-09-22 17:52:12.952395
608,608,"Mini amplificator audio mono 30W, DY-AP3001",RON,30.0,2,True,fbe,2025-09-22 17:52:41.627394
758,758,Amplificator audio stereo 2x38W cu CD7379,RON,30.0,12,True,fbe,2025-09-22 17:52:47.566600
805,805,"Amplificator audio mono 30W cu LM1875, DC 12-32V",RON,30.0,17,True,fbe,2025-09-22 17:52:53.440361
818,818,"Amplificator audio mono 5W cu LTK5128, clasa AB",RON,30.0,8,True,fbe,2025-09-22 17:52:53.440361
830,830,"Placa preamplificator subwoofer cu filtru bass low-pass DC 12-24V, NE5532",RON,30.0,4,True,fbe,2025-09-22 17:52:53.440361
837,837,"Amplificator de semnal AD620 Microvolt, gama 1.5-1000X, DC 3-12V",RON,30.0,19,True,fbe,2025-09-22 17:52:53.440361
870,870,"Amplificator audio stereo 2x15W cu potentiometru, PAM8610",RON,30.0,6,True,fbe,2025-09-22 17:52:53.440361
1063,1063,"Preamplificator audio XH-A902 cu NE5532, 2 canale, DC 12-30V",RON,30.0,5,True,fbe,2025-09-22 17:53:05.796573
606,606,"Amplificator audio stereo 2x10W cu PAM8610, DC 8-12V",RON,30.0,2,True,fbe,2025-09-22 17:52:41.627394
1199,1199,"Decodor MP3 cu amplificator audio mono 2W, card microSD, GPD2846A, DC 3.7-5V",RON,30.0,4,True,fbe,2025-09-22 17:53:11.478797
493,493,Amplificator audio mono 30W cu TPA3110D2,RON,30.0,10,True,fbe,2025-09-22 17:52:30.264242
